Type,date,visitation,placekey
African,2019-01,2,3072
African,2019-01,3,825
African,2019-01,4,309
African,2019-02,2,2841
African,2019-02,3,795
African,2019-02,4,344
African,2019-03,2,3391
African,2019-03,3,947
African,2019-03,4,375
African,2019-03,5,346
African,2019-04,2,3449
African,2019-05,2,3666
African,2019-05,6,190
African,2019-06,2,3443
African,2019-07,2,3167
African,2019-07,3,805
African,2019-07,4,364
African,2019-08,2,3330
African,2019-08,3,921
African,2019-08,4,359
African,2019-09,2,3323
African,2019-09,3,916
African,2019-09,4,389
African,2019-10,2,3168
African,2019-10,3,883
African,2019-10,4,310
African,2019-11,2,3124
African,2019-12,2,3281
African,2019-12,3,887
African,2019-12,6,201
African,2020-01,2,3643
African,2020-01,3,1031
African,2020-02,2,3323
African,2020-02,3,913
African,2020-02,4,342
African,2020-03,2,2244
African,2020-03,4,232
African,2020-03,5,207
African,2020-04,2,1084
African,2020-04,3,278
African,2020-05,2,1565
African,2020-05,3,410
African,2020-05,6,64
African,2020-06,2,1975
African,2020-06,3,515
African,2020-07,2,1985
African,2020-07,3,552
African,2020-07,6,112
African,2020-08,2,2008
African,2020-08,4,241
African,2020-08,5,197
African,2020-09,2,1985
African,2020-09,3,563
African,2020-09,4,233
African,2020-10,2,2103
African,2020-10,3,587
African,2020-10,5,219
African,2020-10,6,99
African,2020-11,2,1792
African,2020-11,3,521
African,2020-12,2,1686
African,2020-12,3,450
African,2021-01,2,1565
African,2021-01,4,161
African,2021-02,2,1557
African,2021-02,3,456
African,2021-03,2,1921
African,2021-03,3,548
African,2021-04,5,195
African,2021-05,2,2166
African,2021-05,4,237
African,2021-06,2,2194
American,2019-01,2,851048
American,2019-01,3,232359
American,2019-01,4,92939
American,2019-01,5,107238
American,2019-01,6,63033
American,2019-01,7,39000
American,2019-01,8,25978
American,2019-01,9,18003
American,2019-01,10,12754
American,2019-01,11,9527
American,2019-01,12,7290
American,2019-01,13,5708
American,2019-01,14,4463
American,2019-01,15,3651
American,2019-01,16,2999
American,2019-01,17,2539
American,2019-01,18,2135
American,2019-01,19,1684
American,2019-01,20,1453
American,2019-01,21,1227
American,2019-01,22,1047
American,2019-01,23,953
American,2019-01,24,762
American,2019-01,25,643
American,2019-01,26,649
American,2019-01,27,521
American,2019-01,28,472
American,2019-01,29,416
American,2019-01,30,368
American,2019-01,31,306
American,2019-01,32,289
American,2019-01,33,251
American,2019-01,34,243
American,2019-01,35,201
American,2019-01,36,191
American,2019-01,37,177
American,2019-01,38,132
American,2019-01,39,145
American,2019-01,40,135
American,2019-01,43,98
American,2019-01,44,89
American,2019-01,45,95
American,2019-01,48,65
American,2019-01,49,43
American,2019-01,50,54
American,2019-01,54,47
American,2019-01,56,40
American,2019-01,61,28
American,2019-01,66,16
American,2019-01,67,22
American,2019-01,68,21
American,2019-01,69,18
American,2019-01,82,10
American,2019-01,93,10
American,2019-01,133,6
American,2019-01,174,2
American,2019-01,249,1
American,2019-02,2,839599
American,2019-02,3,228465
American,2019-02,4,91971
American,2019-02,5,105148
American,2019-02,6,62246
American,2019-02,7,38688
American,2019-02,8,25598
American,2019-02,9,17826
American,2019-02,10,12708
American,2019-02,11,9579
American,2019-02,12,7283
American,2019-02,13,5724
American,2019-02,14,4478
American,2019-02,15,3784
American,2019-02,16,2844
American,2019-02,17,2374
