,category,date,powerlaw_a,exponential_a
0,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-01,1.2118905713862547,7.855403211785257e-05
1,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-02,1.2140064417665999,7.866771869449332e-05
2,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-03,1.2148243330352235,7.88019454916753e-05
3,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-04,1.196789750658542,7.651649805186319e-05
4,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-05,1.2050612993655185,7.786302300431037e-05
5,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-06,1.192703221451572,7.634915959238771e-05
6,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-07,1.1810038253998,7.447024010232798e-05
7,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-08,1.19888834389576,7.690885882376145e-05
8,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-09,1.2049513689325912,7.73599789935405e-05
9,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-10,1.2101508097955647,7.826133997505892e-05
10,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-11,1.2076173393652627,7.828269775256592e-05
11,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2019-12,1.2019235278834712,7.767489710769153e-05
12,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2020-01,1.2091921316532386,7.822123589167109e-05
13,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2020-02,1.2035912716111754,7.778604826580864e-05
14,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2020-03,1.2315361533669218,8.163580480336836e-05
15,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2020-04,1.3137173315105486,9.469148181757528e-05
16,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2020-05,1.2644814509673246,8.627751208434947e-05
17,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2020-06,1.2222468927283445,7.992426239322793e-05
