,category,date,powerlaw_a,exponential_a
0,Mexican,2019-01,1.3869440895468572,0.00010403284902685667
1,Mexican,2019-02,1.385957610026594,0.00010385340714874127
2,Mexican,2019-03,1.3798718536936152,0.00010287493357228297
3,Mexican,2019-04,1.3896606398061775,0.00010432339991187786
4,Mexican,2019-05,1.3805110711691444,0.00010264597747882824
5,Mexican,2019-06,1.369958272679487,0.00010105549700596592
6,Mexican,2019-07,1.3708929889402508,0.00010112708604870743
7,Mexican,2019-08,1.3762087808067334,0.00010204422169314053
8,Mexican,2019-09,1.391271269235628,0.00010454447650466093
9,Mexican,2019-10,1.3857792302173575,0.00010380396765631213
10,Mexican,2019-11,1.3793422656574674,0.0001029519897244818
11,Mexican,2019-12,1.3716752155280687,0.00010140648061261905
12,Mexican,2020-01,1.3765192260421026,0.00010216367220394159
13,Mexican,2020-02,1.3762926899192651,0.00010196820823117804
14,Mexican,2020-03,1.3932497849487882,0.00010508989986519894
15,Mexican,2020-04,1.4526340817962797,0.00011560630505082317
16,Mexican,2020-05,1.390849160899137,0.0001047223092788037
17,Mexican,2020-06,1.3665039886756842,0.00010032542124906373
18,Mexican,2020-07,1.3618730929427474,9.942607592208205e-05
19,Mexican,2020-08,1.3561517617653225,9.859185533573145e-05
20,Mexican,2020-09,1.3653372005232554,0.00010036437971373057
21,Mexican,2020-10,1.3639769236218753,9.99970776946483e-05
22,Mexican,2020-11,1.3691122826400013,0.0001009897669327227
23,Mexican,2020-12,1.3500196695417506,9.78911756893091e-05
24,Mexican,2021-01,1.3455390210600764,9.674629800022724e-05
25,Mexican,2021-02,1.3660872634418282,0.00010038914655947864
26,Mexican,2021-03,1.3550237113654435,9.842847131910942e-05
27,Mexican,2021-04,1.3591294519533292,9.901817403281613e-05
28,Mexican,2021-05,1.3569871335454562,9.878065362876321e-05
29,Mexican,2021-06,1.3453339793432018,9.690501101236968e-05
30,Mexican,2021-07,1.3245817135922873,9.37842300709099e-05
31,Mexican,2021-08,1.3526973525986092,9.809571147254799e-05
32,Mexican,2021-09,1.3596423792362842,9.928684285536695e-05
33,Mexican,2021-10,1.3481915714866257,9.719726222804155e-05
34,Mexican,2021-11,1.3480490742535367,9.765036472448575e-05
35,Mexican,2021-12,1.330007301976961,9.473275516802197e-05
36,American,2019-01,1.3209409485903787,9.221926414160465e-05
37,American,2019-02,1.3196721373185982,9.223637155810521e-05
38,American,2019-03,1.3101709558561292,9.049832982278693e-05
39,American,2019-04,1.3095897098409006,9.052791544126633e-05
40,American,2019-05,1.3099163500560218,9.04170508562601e-05
41,American,2019-06,1.2993550675780745,8.886959625051444e-05
42,American,2019-07,1.2937827308631293,8.820933358064338e-05
43,American,2019-08,1.2999832502105162,8.921601043832813e-05
44,American,2019-09,1.3208355140696573,9.250598095828943e-05
45,American,2019-10,1.3177860383258537,9.182581774316352e-05
46,American,2019-11,1.3123756480423316,9.092994922723845e-05
47,American,2019-12,1.2963634431981128,8.826647746465856e-05
48,American,2020-01,1.310631064124015,9.042663199680373e-05
49,American,2020-02,1.3031156477933108,8.934819337965037e-05
50,American,2020-03,1.3267114577836794,9.338355766961987e-05
51,American,2020-04,1.3766105650328264,0.00010219911088959728
52,American,2020-05,1.3307940566395209,9.418382967966303e-05
53,American,2020-06,1.3085721400581765,9.037942703249958e-05
54,American,2020-07,1.3014186363364055,8.94258715609838e-05
55,American,2020-08,1.2940956378469364,8.827594093402682e-05
56,American,2020-09,1.3057130801368662,8.996333737504479e-05
57,American,2020-10,1.3048176653966588,8.980049706233136e-05
58,American,2020-11,1.3089071004309178,9.033704928175565e-05
59,American,2020-12,1.2896389715738947,8.721247393882862e-05
60,American,2021-01,1.283949065856727,8.634365909894675e-05
61,American,2021-02,1.29842792823422,8.85819871824451e-05
62,American,2021-03,1.292874489699051,8.777089739691381e-05
63,American,2021-04,1.2978788042008933,8.836722709785763e-05
64,American,2021-05,1.2903871986882618,8.718435805053205e-05
65,American,2021-06,1.2823367832635981,8.589177078775573e-05
66,American,2021-07,1.2635193507946552,8.346875604618689e-05
67,American,2021-08,1.2796117937246003,8.616077767560345e-05
68,American,2021-09,1.291693059792575,8.801430586873987e-05
69,American,2021-10,1.293014849520437,8.828773463678519e-05
70,American,2021-11,1.2898888889548301,8.768836415999277e-05
71,American,2021-12,1.2733760039325637,8.501858082476271e-05
72,Chinese,2019-01,1.4103028160554238,0.00010784032885661625
73,Chinese,2019-02,1.408727705720347,0.0001072956937111905
74,Chinese,2019-03,1.4015945247311348,0.00010602076636872153
75,Chinese,2019-04,1.417802874729595,0.00010904781225625515
76,Chinese,2019-05,1.4173669361773455,0.00010913830645811515
77,Chinese,2019-06,1.4172932084947671,0.00010891269822741246
78,Chinese,2019-07,1.4164548775109067,0.00010908094469157035
79,Chinese,2019-08,1.4167578236521894,0.00010906102356897737
80,Chinese,2019-09,1.4266297254310671,0.00011089675028064342
81,Chinese,2019-10,1.4317990230530127,0.00011203699512082947
82,Chinese,2019-11,1.4202433610595582,0.00010975761454322329
83,Chinese,2019-12,1.4138568403463565,0.00010886512334814518
84,Chinese,2020-01,1.4127436758691942,0.00010837119163831204
85,Chinese,2020-02,1.4219704013733174,0.0001101642526154372
86,Chinese,2020-03,1.4574974999862746,0.00011642245544707111
87,Chinese,2020-04,1.51068864342838,0.00012620095856965714
88,Chinese,2020-05,1.4858111390132267,0.00012136025623996514
89,Chinese,2020-06,1.4601490680519484,0.00011698372666711315
90,Chinese,2020-07,1.4567102861457268,0.00011613780817597446
91,Chinese,2020-08,1.4403917652366396,0.00011320509668483167
92,Chinese,2020-09,1.4377690530846412,0.00011284321322281973
93,Chinese,2020-10,1.43489840832843,0.00011232216931657602
94,Chinese,2020-11,1.4352461001222974,0.00011236003957769883
95,Chinese,2020-12,1.425949554884985,0.0001105882721454509
96,Chinese,2021-01,1.4027081287569496,0.0001061085932010608
97,Chinese,2021-02,1.4072347933916096,0.0001073353723556908
98,Chinese,2021-03,1.4013377282907509,0.00010622813486179541
99,Chinese,2021-04,1.405319281350285,0.0001068930885981022
100,Chinese,2021-05,1.4012492643366616,0.00010635322765769786
101,Chinese,2021-06,1.3907372247406706,0.00010439939782216959
102,Chinese,2021-07,1.371027559079307,0.0001010777602623399
103,Chinese,2021-08,1.3836741238709207,0.00010342077964880585
104,Chinese,2021-09,1.3998484903431225,0.00010599408675709325
105,Chinese,2021-10,1.3941967025625674,0.00010531047813422327
106,Chinese,2021-11,1.3878492674591651,0.00010429937681024563
107,Chinese,2021-12,1.370813585890068,0.00010127316889265212
108,Italian,2019-01,1.39490424626893,0.00010572146762534909
109,Italian,2019-02,1.3981339796072851,0.0001058954313464591
